station_id,adresse,ville,cp,latitude,longitude
10800007,29 BOULEVARD DE DIJON,Saint-Julien-les-Villas,10800,4826800,408800
1090001,1 ROUTE DE FRANCHELEINS,MONTCEAUX,01090,4609600,477500
11000003,AVENUE DU 3ème RPIMA,Carcassonne,11000,4320700,238600
11000005,13 Allée d'Iéna,Carcassonne,11000,4321100,234500
11000007,Route de Toulouse,Carcassonne,11000,4322500,232900
11000009,Rue Claude Chappe,Carcassonne,11000,4321200,232500
11000012,42 Boulevard Jean Jaurès,Carcassonne,11000,4321600,235500
11000013,10 Av. Maréchal Juin,Narbonne,11100,4318205.593397,301535.44914882
11000014,69 Allée d'Iéna,CARCASSONNE,11000,4321500,234500
11000015,ROUTE DE LIMOUX RN 118,CARCASSONNE,11000,4319700,232300
11000016,ZI PONT ROUGE,CARCASSONNE,11000,4323600,236900
11000018,Centre Commercial Salvaza ZI la Bouriette,Carcassonne,11000,4320800,231100
11000019,1 rue Joséphine Baker,Carcassonne,11000,4320700,239300
1100002,Rue Brillat-Savarin,OYONNAX,01100,4625000,564400
1100004,886 AVENUE JEAN COUTTY,ARBENT - OYONNAX,01100,4627200,566000
1100006,74 Rue Jules Michelet,Oyonnax,01100,4626200,564800
1100007,174 COURS DE VERDUN,OYONNAX,01100,4625000,564100
1100008,32 COURS DE VERDUN,Oyonnax,01100,4626700,565500
1100009,RUE DU 19 MARS 1962,ARBENT,01100,4625300,564600
11100002,14 Avenue Carnot,NARBONNE,11100,4319100,300700
11100003,108 Avenue de Bordeaux,NARBONNE,11100,4318200,298100
11100004,Cap de la Pla - RN113,NARBONNE,11100,4318041.7745049,296122.91713135
11100008,Avenue de la Croix Sud - PL uniquement,Narbonne,11100,4316300,298900
11100009,40 Boulevard Frédéric Mistral,Narbonne,11100,4318700,300400
1110001,Rue Masonod,HAUTEVILLE-LOMPNES,01110,4597800,559900
11100010,AVENUE CROIX SUD,Narbonne,11100,4316100,298800
11100013,60AVENUE DU GENERAL LECLERC,NARBONNE,11100,4317400,299200
11100015,7 rue du pont rouge,Montredon-des-Corbières,11100,4318297.7973551,293592.16901315
11100016,AVENUE D ESPAGNE,NARBONNE,11100,4316000,298200
11100017,82 AVENUE CARNOT,Narbonne,11100,4319600,301200
11101001,AVENUE HUBERT MOULY,NARBONNE,11100,4317900,302900
11106001,199 avenue de Bordeaux,NARBONNE,11100,4318100,297000
11110001,Avenue de Toulouse,COURSAN,11110,4323000,305100
11110004,Route de Coursan,Salles-d'Aude,11110,4323900,311200
11110005,AUTOROUTE A9 - AIRE DE NARBONNE VINASSAN SUD,Salles-d'Aude,11110,4321488.56472,309236.711734
11110008,AIRE DE NARBONNE VINASSAN NORD - A9,SALLES D'AUDE,11110,4321400,309000
11120001,Avenue de Saint-Pons,Saint-Marcel-sur-Aude,11120,4325362,291366
11120002,RN 113 AVENUE MARECHAL GALLIENI,Lézignan-Corbières,11200,4320367.93,276496.97
11120003,2 ZONE ARTISANALE LA GARRIGUE,Argeliers,11120,4325370.0010604,291305.46119169
11130001,29 ZAE du Peyrou,SIGEAN,11130,4303100,296500
11130002,Rue François Arago,Sigean,11130,4302700,299500
11140001,Lieu Dit La Condomine,AXAT,11140,4280410.25698,223146.003573
11150001,zae avenue de la preuilhe,BRAM,11150,4324100,210100
