station_id,marque
13011023,Station La Millière
13011025,Eni
13011026,Auchan
13011027,Carrefour
13011028,Carrefour
13012016,Intermarché
13012022,Total Access
13012024,Auchan
13012025,Esso
13012028,Carrefour
13012029,Intermarché
13013002,Esso
13013003,Esso
13013011,Les Olives
13013012,Le Relais de Plombières
13013014,Eni
13013016,TotalEnergies
13013017,Total Access
13013018,Casino
13013019,Intermarché
13014001,Carrefour
13014010,Avia
13014015,Eni
13015004,Esso Express
13015016,Eni
13015019,Total Access
13015020,Eni
13016007,TotalEnergies
13016008,TotalEnergies
13090017,TotalEnergies
13090018,TotalEnergies
13090020,Eni
13090021,Auchan
13100005,Esso Express
13100006,Esso Express
1310001,Total
13100013,Total Access
13100014,TotalEnergies
13100015,Total Access
13100016,Total
13100017,Total Access
13100021,Carburant Loti
1310005,Netto
13105001,Intermarché
13110003,Carrefour
13110004,Euro Stat
13110005,Total
13112003,Intermarché
13112005,Avia
13115001,Total
13118001,Super U
13120001,Carrefour
13120003,Intermarché
13120005,E.Leclerc
13120008,TotalEnergies
13120009,Relais de la Garde
13122001,Total
13122002,Intermarché
13124003,E.Leclerc
13124004,E.Leclerc
13127005,Eni
13127006,E. Leclerc
13127009,Station des Cadestaux
13127010,Total
13127012,Esso
13127013,Intermarché
13130002,Carrefour Market
13130005,Dyneff
13130006,TotalEnergies
13140001,Carrefour
13140002,Dyneff
13140005,Intermarché
13140010,Total Access
13150001,Auchan
13150003,Intermarché
13150006,Total Access
13160001,Garoucha Fioul Service SARL
13160002,Intermarché
13160004,Carrefour
13160005,Super U
13170007,Avia
13170008,Independent
13170010,L.R.D.P.
13170011,Total
13170013,Eni
13180001,Eni
13180002,Carrefour Market
13190001,Total
13200006,E.Leclerc
13200009,Intermarché
1320001,Elan
13200013,Genevez Auto Station
13200014,TotalEnergies
13200015,Total
13200016,TotalEnergies
13200019,Esso
13200020,TotalEnergies
1320004,Netto
13210002,Intermarché
13210004,Total
13220003,Carrefour
13220004,Carrefour Contact
13230001,Intermarché
13230002,Netto
13230004,TotalEnergies
13240002,Relais du 8 Mai
13260002,TotalEnergies
13270004,Esso Express
13270005,Intermarché
13270011,Total Access
13270012,Total Access
13270014,Relais des Pins
13300001,TotalEnergies
13300002,Total
13300005,E.Leclerc
13300008,Intermarché
13300009,Independent
13300010,TotalEnergies
13300011,Carrefour
1330002,Super U
1330003,Total
13310001,Super U
13310002,Intermarché
13320004,Esso Express
13320005,Esso
13320009,Avia
13320010,Système U
13320012,TotalEnergies
13320013,Esso
13320014,Eni
13330001,Intermarché
13340001,Carrefour
13340004,Dyneff
13340005,Shell
13340006,Avia
13360001,Intermarché
13370003,Intermarché
13370005,Relais de Douneau
13370006,Intermarché
13380002,Esso Express
13390002,Intermarché
13400001,Auchan
13400002,Total
13400003,Total
13400007,Esso Express
13400014,Total
13400015,Total Access
13400017,Intermarché
13400018,Avia
1340002,Total
1340003,Intermarché
1340004,Dyneff
1340005,Market
13410004,Carrefour Contact
13410005,Intermarché
13420001,Avia
13430001,Intermarché
13430002,Independent
13440002,Intermarché
13440005,Distrifioul Provence
13450001,U Express
13460001,Les Tamaris
13460003,Flamants service
13463001,Carrefour
13470001,Intermarché
13480001,TotalEnergies
13480002,E.Leclerc
13500001,Auchan
13500005,Esso Express
13500006,Intermarché
13500011,TotalEnergies
13500012,TotalEnergies
13500014,Esso
1350003,Intermarché
1350004,Carrefour
13510001,Total
13520001,Total Access
13530001,Carrefour
13530003,Auchan
13545001,Carrefour
13550001,Total
13560002,Elan
13560003,Station Auto Relax
13560004,Auchan
13560005,Total
13570001,Intermarché
13580002,Système U
13580003,Relais de la Fare
13590003,Total
13590004,Intermarché
13600005,Carrefour
13600013,Esso
13600015,TotalEnergies
1360002,Total
13600022,Esso
13600023,Intermarché
13600024,Station Mesnier
13600026,Total Access
13610001,Esso
13620002,Independent
13620004,Total
13626002,Intermarché
13630003,Astouin
13630004,U Express
13650002,Esso
13650003,Avia
13660002,Independent
13660005,Intermarché
13670001,Garoucha - Relais des MIN
13680004,Intermarché
13680007,TotalEnergies
13680008,TotalEnergies
13680010,Carrefour Contact
13700005,E. Leclerc
13700007,Intermarché
13700009,Total Access
13700010,Total Access
13700011,Total Access
13700013,Independent
1370003,Intermarché
13710001,TotalEnergies
13710002,Esso Express
13710004,Intermarché
13710005,Intermarché
13730001,Carrefour Market
13740001,Total
13740003,Auchan
13741001,Carrefour
13750003,Esso
13750004,TotalEnergies
13750005,Total
13750006,U
13751002,Intermarché
13770002,Intermarché
13770004,Carburant Loti
13780009,Carrefour Contact
13790003,Avia
13790005,Shell
13800004,E. Leclerc
13800009,Avia
13800010,Total
13800011,Auchan
1380002,DATS 24
13850001,Intermarché
13860001,Lidl
13870001,Système U
13870002,Renault Sighinolfi
13880001,Intermarché
13880002,Intermarché
13890000,Independent
1390002,Total
1390009,Eni
1390010,Intermarché
1390011,Shell
1390013,Carrefour
13910001,Super U
13920004,Carrefour
13920005,Esso
13920010,Dyneff
13990002,Avia
14000003,TotalEnergies
14000009,Super U
1400001,Carrefour
14000010,Intermarché
14000014,E.Leclerc
14000019,TotalEnergies
14000020,TotalEnergies
14000021,TotalEnergies
1400005,Intermarché
1400006,Intermarché
14053001,Carrefour
14100003,E.Leclerc
14100004,Esso
14100006,Système U
14100007,Intermarché
14100009,Total
1410001,Avia
14110002,Intermarché
14110003,Total Access
14111001,Intermarché
14112001,Carrefour
14120001,Super U
14120002,Total
14123001,Auchan
14123004,E.Leclerc
14123005,Système U
14123007,Total
14123008,Total
14123009,E.Leclerc
14123010,Carrefour
14125001,Carrefour
14130001,Total
14130003,Intermarché
14130004,Intermarché
14130007,Total Access
14130008,TotalEnergies
14130010,Avia
14150001,Esso
14160002,Système U
14160003,Intermarché
14160004,TotalEnergies
14170001,TotalEnergies
14170006,Intermarché
14200006,Système U
14200008,Auchan
14200009,Total Access
14200010,Système U
14210001,Intermarché
14220002,XBEE
14230002,Intermarché
14230003,Carrefour
14240001,Intermarché
14250002,Carrefour
14260002,Intermarché
14270003,Carrefour
14280002,Les Mousquetaires
14290001,Carrefour
14290002,Intermarché
1430003,Eni
1430004,Avia
1430005,Total
14310002,TotalEnergies
14310003,Carrefour
14310004,E.Leclerc
14320003,Carrefour
14320004,Total
14330001,Système U
14350002,TotalEnergies
14370003,E.Leclerc
14380001,Carrefour
14380002,TotalEnergies
14380003,Avia
14390001,Carrefour Market
14400003,TotalEnergies
14400004,Esso
1440001,Total
14400010,TotalEnergies
14400011,Intermarché
1440002,Total
1440003,Avia
14404001,E.Leclerc
14410004,Carrefour Contact
14420003,Carrefour
14430001,U
14440001,Total
14440002,Système U
14450001,Carrefour
14460002,Super U
14470001,TotalEnergies
14470002,Carrefour
14480001,Carrefour
14500001,Total
14500003,Carrefour
14500005,E. Leclerc
14500008,Carrefour
14500012,Intermarché
14500013,U
14520002,Total
14520003,U
14520004,Super U
14540001,Carrefour
14550001,Système U
14600003,E. Leclerc
14600004,Intermarché
14600007,TotalEnergies
1460001,Carrefour
1460002,Total
1460003,Intermarché
14610001,Carrefour
14640001,TotalEnergies
14670001,Super U
14680001,Carrefour
14700001,Carrefour Market
14700004,E.Leclerc
14700005,Elan
14700007,Esso
1470002,Intermarché
14710001,Station service Communale
14730001,Esso
14730004,Dyneff
14740001,U Express
14760002,Relais Du Virois
14780003,Carrefour Contact
14790002,TotalEnergies
14800005,E.Leclerc
14800006,Carrefour
14800008,Avia
1480001,Carrefour Market
1480004,Total
1480006,Intermarché
14880001,Auchan
14920001,Esso Express
14960001,Carrefour Contact
14980002,Carrefour
14980007,Esso Express
14990002,Intermarché
15000003,TotalEnergies
15000005,TotalEnergies
15000008,Intermarché
15000009,Intermarché
15000012,Avia
15000016,TotalEnergies
15000017,Carrefour
15000018,Avia
15000019,GAVARRY DISTRIBUTION
1500003,Avia
1500004,Avia
1500006,Total
1500007,Intermarché
1500008,Total
15004002,E.Leclerc
15100003,Energies Sanfloraines
15100005,Carrefour
15100006,Intermarché
15100010,Aire de service du Cantal
15100011,Station Service Orceyre
15100012,E.Leclerc
15100013,Total
1510003,Carrefour Contact
15110001,Total
15110003,Élan
15130001,Total
15130003,Esso
15130005,TotalEnergies
15190001,Esso
15190003,Intermarché
15190004,Carrefour
15200004,Intermarché
15200005,Carrefour
15210001,Super U
15220002,Total
15250001,Total
15250004,Carrefour
15250006,Carrefour Contact
15290001,Etablissements Lacombe
15300002,Total
15300003,Intermarché
15300006,Auvergne Carburants
15300007,La Planèze
15310001,Elan
15320001,Orceyre Carburants
15400002,Esso
15400003,Carrefour Market
15400004,Total
1540001,Carrefour
1540003,Intermarché
15500003,Intermarché
15500006,Orceyre Carburants
15500008,Carrefour Contact
15600001,Total
15600003,Intermarché
1560001,Intermarché
15700001,Avia
15700005,U
1570001,Intermarché
15800002,Intermarché
15800004,Station Communale
1590001,Avia
1590002,Intermarché
16000004,Intermarché
16000005,Intermarché
16000008,Total Access
16000009,Total Access
1600002,Carrefour
1600003,Auchan
16021001,E.Leclerc
16100001,Auchan
16100004,E.Leclerc
16100005,Avia
16100006,Intermarché
16100007,Intermarché
16100008,Total Access
16110001,E. Leclerc
16110004,Total
16110005,Esso
16110006,E.Leclerc
16120001,Super U
16120004,Carrefour
16130002,Intermarché
16140002,Carrefour
16150003,Super U
16150004,Elan
16160001,Avia
16170001,Super U
16190001,Système U
16200001,U
16200003,Intermarché
16200005,Intermarché
16210001,Intermarché
16220001,Intermarché
16230002,Système U
16230004,Avia
16230005,TotalEnergies
16250001,Carrefour
16260001,Total
16260002,Intermarché
16270001,U
16270003,Intermarché
16300001,TotalEnergies
16300004,Intermarché
16300005,E.Leclerc
1630001,Carrefour
1630003,Intermarché
1630004,Intermarché
1630005,Avia
16320003,Super U
16320005,Petit 24/24
16330001,Intermarché
16330003,Coop
16340002,Esso Express
16350001,Carrefour
16360001,TotalEnergies
16360002,Intermarché
16380001,Avia
16400001,Auchan
16400002,Système U
1640003,TotalEnergies
16430004,Intermarché
16430005,Total Access
16430006,Auchan
16480001,Avia
16500002,Intermarché
16500005,Intermarché
16500006,Esso
16600001,Intermarché
16700003,E.Leclerc
16700004,Intermarché
16700007,Dyneff
16700008,E.Leclerc
16700009,Shell
16710001,Système U
16730001,Avia
16730002,Intermarché
16800001,Station essence Carrefour
17000005,E.Leclerc
17000007,Avia
17000010,Esso Express
17000012,Total
1700003,Esso
1700004,E.Leclerc
1700005,Carrefour
17100001,TotalEnergies
17100005,E.Leclerc
17100006,E.Leclerc
17100007,Intermarché
17100008,Intermarché
1710001,Migrol
17100011,Esso
17100013,Total Access
17100014,TotalEnergies
17102001,U
17110001,Super U
17120002,Super U
17120004,Chez Chouchou
17120005,Total Contact
17130001,Système U
17130003,Total
17130004,Intermarché
17132001,Station U
17137001,Total
17137002,Système U
17138006,Total Access
17138007,Total Access
17138010,Carrefour Contact
17139001,Super U
17140001,E.Leclerc
17150001,Super U
17160001,Intermarché
17160002,Système U
17170003,Carrefour Market
17200001,Super U
17200003,Total
17200006,Intermarché
17200008,Total Access
17200009,Total Access
17201001,Picoty Atlantique Services
17210004,KM488
17210006,Avia
17210007,Avia
17220001,Intermarché
17220002,Intermarché
17220003,Système U
17230002,Station U
17230004,Intermarché
17240001,Total
17250002,Carrefour
17250003,Intermarché
17260001,Super U
17270001,Intermarché
17285001,Super U
17290003,Intermarché
17300003,E. Leclerc
17300004,Intermarché
17300006,Esso Express
17310001,Système U
17310003,Total
17310004,E.Leclerc
17320002,E. Leclerc
17320003,Intermarché
17320004,E.Leclerc
17350001,Shell
17350003,Total
17350005,Système U
17350006,Eni
17360001,Super U
17390002,Intermarché
17400002,E.Leclerc
17400003,Intermarché
17400006,Esso
17400008,E.Leclerc
17410001,E.Leclerc
17410002,Intermarché
17420001,Super U
17430001,Super U
17430007,TotalEnergies
17440001,TotalEnergies
17450001,Station U
17470001,Intermarché
17480003,E.Leclerc
17500002,E.Leclerc
17500003,Intermarché
1750001,Intermarché
17520001,Carrefour Contact
17520002,Total
17530001,Super U
17530003,Carrefour
17540001,Elan
17550001,Intermarché
17560004,E.Leclerc
17570001,TotalEnergies
17580002,Carrefour
17590002,U
17600001,Super U
17600003,Intermarché
17600004,E.Leclerc
17600005,Avia
17600006,E.Leclerc
17620002,Système U
17630001,Intermarché
17640002,Intermarché
17640003,Système U
17690001,Carrefour
17690002,Total Access
17690004,Avia
17700001,Système U
17700002,Total
17700003,E.Leclerc
17700004,Intermarché
17740001,Total
17770002,Carrefour
17780001,Intermarché
17800001,Esso
17800004,E.Leclerc
17800005,Esso
17920001,Avia
18000001,Carrefour Market
18000002,Carrefour
18000004,Carrefour Market
1800001,Carrefour
18000011,Auchan
18000014,Carrefour
18000016,Esso
18000017,Total Access
18000018,Total
18000019,TotalEnergies
1800002,Elan
18000021,Intermarché
18000022,Intermarché
1800003,Intermarché
18100008,Intermarché
18100010,Esso
18100011,Total
18100015,Carrefour Market
18100016,Carrefour
18100017,U
18103001,E.Leclerc
18110001,Carrefour
18130001,Avia
18130002,Super U
18140003,Esso
18150001,bi1
18160001,Carrefour
18160002,TotalEnergies
18170001,Système U
18190001,Intermarché
18200001,Carrefour
18200002,Total
18200005,Intermarché
18200007,E.Leclerc
18200009,Intermarché
18200011,Esso
18220001,Carrefour
18230004,E.Leclerc
18240001,Système U
18240004,Avia
18250002,Intermarché
18300001,Carrefour
18300006,Avia
18300007,DATS 24
18310003,Carrefour
