station_id,adresse,ville,cp,latitude,longitude
59430001,ZAC des Jardins,Dunkerque,59430,5102330.9839673,234005.36206785
59430002,18 Rue de la République,Saint-Pol-sur-Mer,59430,5102900,235900
59440001,ROUTE DE LANDRECIES,AVESNELLES,59440,5011924,392756
59440002,39 AVENUE STROH,Avesnes-sur-Helpe,59440,5012900,393700
59440004,88 Av. du Pont Rouge,Avesnes-sur-Helpe,59440,5012488.7567371,392640.08331655
59450001,Zone du Luc,DECHY,59187,5034000,310000
59450002,121 AVENUE ROGER SALENGRO,Sin-le-Noble,59450,5036400,309700
59450005,RUE AMBROISE CROIZAT,Sin-le-Noble,59450,5036802.2611035,312012.8517168
59460001,Avenue du Général de Gaulle,JEUMONT,59460,5028975,410231
59460002,940 Rue du Maréchal Leclerc,JEUMONT,59460,5030900,408900
59470003,Route de Begues,WORMHOUT,59470,5089100,246300
59470004,703 Route de Bergues,Wormhout,59470,5089100,246300
59474001,15 Route de Lille,Seclin,59113,5055900,303400
59480002,10 Rue Maurice Bouchery,LA BASSéE,59480,5053009.0586347,280486.53757779
59490001,Rue Pierre Sémard,Somain,59490,5035800,327800
59490002,Boulevard Louise Michel,SOMAIN,59490,5034813.69944,328197.334524
59494002,RN45,Petite-Forêt,59494,5037600,347400
59494009,AUTOROUTE A23 6 - AIRE DE PETITE FORÊT,Petite-Forêt,59494,5037000,348100
59500009,143 BOULEVARD PAUL HAYEZ,DOUAI,59500,5036300,308300
59500010,307 BOULEVARD PASTEUR,DOUAI,59500,5037053.89,307672.51
59501001,345 Boulevard Louis Breguet,Douai,59500,5038100,308500
59510003,188 AV DU GENERAL DE GAULLE,HEM,59510,5066489.8917062,318274.62575138
59520001,Rue Georges Maertens,MARQUETTE-LEZ-LILLE,59520,5066330,304615
59520003,Rue des moissons (ZAC DU TOUQUET),Marquette-lez-Lille,59520,5068127.5113008,306236.29318275
59530001,2 PLACE DE LA GARE,Le Quesnoy,59530,5025000,364500
59530002,Centre Commercial Les Portes de l'Avesnois ZAE Ouest,Le Quesnoy,59530,5025500,363500
59540002,Rue de la Gare,CAUDRY,59540,5011200,341000
59540003,Boulevard du 19 Mars 1962,CAUDRY,59540,5011300,341600
59541001,Boulevard du 8 Mai 1945,CAUDRY,59540,5012900,342600
59550001,Boulevard des Résistants,LANDRECIES,59550,5012400,368900
59550002,57 Faubourg de France,Landrecies,59550,5011864,370226
59550003,2574 Chemin De Maubeuge,MAROILLES,59550,5013700,377200
59553003,759 RUE JEAN JAURES,CUINCY,59553,5037748.6135117,305775.04189407
59554002,RD 643,TILLOY-LEZ-CAMBRAI,59554,5019307.46494,321331.274963
59554005,"16 BIS, ROUTE DE BAPAUME",RAILLENCOURT STE OLLE,59554,5017600,320400
59554008,Route de Bapaume,RAILLENCOURT SAINTE OLLE,59554,5019198.59,317036.5
59570001,Rue des Platanes,BAVAY,59570,5030122,379447
59570003,VOIE RAPIDE HAUTMONT-MAUBEUGE,HAUTMONT,59330,5025800,391300
59580001,67 Boulevard Paul Vaillant-Couturier,ANICHE,59580,5033003,324294
59600006,4 Boulevard de l'europe,Maubeuge,59600,5028200,397000
59600009,QUARTIER DE L'EPINETTE,Maubeuge,59600,5029008.3699991,396577.30404875
59610001,61 Rue Jean Jaurès,FOURMIES,59610,5001800,405300
59610002,rue theophile legrand,FOURMIES,59610,5002400,402800
59610004,1 PLACE DERIGNY,FOURMIES,59610,5002000,403000
59620002,Rue de la Fontaine,AULNOYE-AYMERIES,59620,5020900,382800
59620005,Rue Jean Catelas,Aulnoye-Aymeries,59620,5019800,384800
59630002,CHEMIN DE LA VIEILLE COLME,BOURBOURG,59630,5093921,219998
59630003,3 Rue Jean Varlet,BOURBOURG,59630,5094384.9986115,219784.86125013
59640002,AV DE LA VILLETTE,DUNKERQUE,59640,5102400,236000
59650001,10 PLACE DE LA REPUBLIQUE,Villeneuve-d'Ascq,59650,5062625,314909
59650002,140 Rue Jean Jaurès,Villeneuve-d'Ascq,59491,5066480,314041
59650009,"186, Rue des Fusillés",Villeneuve-d'Ascq,59650,5061196.72751,315988.065719
59650011,Boulevard de Mons,VILLENEUVE-D'ASCQ,59650,5064300,314400
59650012,"76, RUE JEAN JAURES",Villeneuve-d'Ascq,59650,5065925,313527
59650013,33 RUE JEAN JAURES,VILLENEUVE D'ASCQ,59491,5065967.936,313539.032
59658001,18 rue jules guesde,VILLENEUVE-D'ASCQ,59650,5063600,312200
59660002,102 route d'estaires,Merville,59660,5064100,265400
59670001,769 avenue Albert Mahieu,Cassel,59670,5079800,249400
59680001,Avenue Georges Clémenceau,Ferrière-la-Grande,59680,5026010,400607
59700003,26 Avenue Aristide Briand,ARMENTIèRES,59280,5068900,288600
59700004,115 Boulevard Clemenceau,Marcq-en-Baroeul,59700,5066400,308900
59700008,1013 AVENUE DE LA REPUBLIQUE,Marcq-en-Barœul,59700,5066418,310016
59700009,PARC DU CHEVAL BLANC,MARCQ-EN-BAROEUL,59700,5068300,308500
59710002,Route d'Ennevelin,PONT-à-MARCQ,59710,5052800,310800
59710007,81 RUE DE SECLIN,Avelin,59710,5054036.4491489,307374.64096402
59720001,Rue Jules Stephenne,LOUVROIL,59720,5025400,393700
59721001,Rue de Villars,DENAIN,59220,5032700,339400
59730003,RUE DU PETIT SOLESMES,SAINT-PYTHON,59730,5018900,348700
59750004,28 Rue Jean Jaurès,Feignies,59750,5029762,391730
59750005,126 ROUTE DE VALENCIENNES,FEIGNIES,59750,5028100,390700
59760001,Avenue de l'Ancien Village,GRANDE-SYNTHE,59760,5101100,229300
59760002,Voie du Courgain - Rocade Sud - A16,Grande-Synthe,59760,5100400,230400
59760005,1 AV DE PETITE SYNTHE,Grande-Synthe,59760,5101400,230700
59770002,Avenue Henri Barbusse,MARLY,59770,5034100,356600
59770003,373 Avenue Henri Barbusse,MARLY,59770,5034300,356200
59780001,31 AVENUE D OGIMONT,Baisieux,59780,5061500,323700
59780003,RD 93 GRANDE RUE,Camphin-en-Pévèle,59780,5059477.455,325781.84717474
59790001,331 Rue Charles Saint-Venant,RONCHIN,59790,5060020.88404,308413.548938
59800002,94 Rue de Lannoy,LILLE,59000,5063400,309800
59800003,268 rue pierre Legrand,Lille,59800,5063100,309600
59817002,BOULEVARD DU BOIS D'HENCHEMONT,LESQUIN,59817,5058123.9973872,311136.89595328
59820001,ROUTE DE DUNKERQUE,GRAVELINES,59820,5099600,214900
59830001,90 rue de la savonnière,Cysoing,59830,5057523.3,321738.3
59850002,Drève Du Bailly,Nieppe,59850,5068700,284000
59860003,386-388 Rue Jean Jaurès,Bruay-sur-l'Escaut,59860,5039900,354400
59880001,125 Rue Jean Jaurès,SAINT-SAULVE,59880,5036900,355100
59890001,Route de Comines,QUESNOY-SUR-DEûLE,59890,5071687,300160
59910001,AVENUE DU GENERAL DE GAULLE,BONDUES,59910,5070600,310134
59920001,53 Avenue Jean Jaurès,QUIéVRECHAIN,59920,5040300,366900
59930002,ROUTE NATIONALE RD933,Chapelle-d'armentières,59930,5067300,289700
59940001,ROUTE DE MERVILLE,ESTAIRES,59940,5064200,270500
